"","Y","M","D","Tmean"
"154",1920,6,2,15.519999653101
"155",1920,6,3,14.6999996714294
"156",1920,6,4,8.97999979928136
"157",1920,6,5,10.9299997556955
"158",1920,6,6,10.8099997583777
"159",1920,6,7,10.4399997666478
"160",1920,6,8,9.67999978363514
"161",1920,6,9,10.7499997597188
"162",1920,6,10,12.8399997130036
"163",1920,6,11,12.2899997252971
"164",1920,6,12,13.6499996948987
"165",1920,6,13,13.2299997042865
"166",1920,6,14,13.0899997074157
"167",1920,6,15,14.6099996734411
"168",1920,6,16,16.0399996414781
"169",1920,6,17,16.6299996282905
"170",1920,6,18,17.4499996099621
"171",1920,6,19,17.4099996108562
"172",1920,6,20,16.8699996229261
"173",1920,6,21,19.1599995717406
"174",1920,6,22,17.5599996075034
"175",1920,6,23,18.6899995822459
